"Compensation","Name","Position","Date","Year","College"
170934,"Joe Vitale ","Chief Human Resources Officer",2022-06-01,2022,"Oberlin College"
161990,"Catherine Gletherow ","Associate Vp Of Advancement",2022-06-01,2022,"Oberlin College"
160137,"Natalie Winkelfoos ","Associate Vp For Athletics",2022-06-01,2022,"Oberlin College"
153513,"Edward Jones Associate ","Vp For Admissions Until Mar 2022",2022-06-01,2022,"Oberlin College"
122486,"Donica Varner Vp Gen Counsel ","& Secretary Until July 2021",2022-06-01,2022,"Oberlin College"
93762,"Karen Goff ","Vp, Dean Of Students",2022-06-01,2022,"Oberlin College"
68183,"Joshua Jensen ","Vp Director Of Communications",2022-06-01,2022,"Oberlin College"
0,"Kofi Asare ","Trustee",2022-06-01,2022,"Oberlin College"
0,"Charles S Birenbaum ","Trustee",2022-06-01,2022,"Oberlin College"
675139,"Jun Yang ","Chief Investment Officer",2021-06-01,2021,"Oberlin College"
497528,"Carmen Twillie Ambar ","President",2021-06-01,2021,"Oberlin College"
270576,"Michael Grzesiak ","Vp, Development & Alumni Affairs",2021-06-01,2021,"Oberlin College"
249939,"David Kamitsuka ","Dean Of Arts & Sciences",2021-06-01,2021,"Oberlin College"
229591,"Rebecca D Vazquez-Skillings ","Vp, Finance & Administration",2021-06-01,2021,"Oberlin College"
221884,"William Quillen ","Dean Of Conservatory",2021-06-01,2021,"Oberlin College"
209268,"John V Duca ","Professor",2021-06-01,2021,"Oberlin College"
199060,"Kevin Brown ","Chief Facilities Officer",2021-06-01,2021,"Oberlin College"
198239,"Donica Varner ","Vp, General Counsel & Secretary",2021-06-01,2021,"Oberlin College"
192609,"Benjamin R Hockenhull ","Chief Information Technology Officer",2021-06-01,2021,"Oberlin College"
183009,"Manuel Carballo ","Vp, Dean Of Admissions & Fin. Aid",2021-06-01,2021,"Oberlin College"
182902,"Jeffrey Witmer ","Professor",2021-06-01,2021,"Oberlin College"
178133,"Meredith L Raimondo ","Vp, Dean Of Students",2021-06-01,2021,"Oberlin College"
175586,"Nicole Addington ","Associate Vp For Finance & Admin.",2021-06-01,2021,"Oberlin College"
174997,"Peter Slowik ","Professor",2021-06-01,2021,"Oberlin College"
173954,"Marilyn Mcdonald ","Professor",2021-06-01,2021,"Oberlin College"
172584,"Peter Takacs ","Professor",2021-06-01,2021,"Oberlin College"
160767,"Natalie Winkelfoos ","Associate Vp For Athletics",2021-06-01,2021,"Oberlin College"
156129,"Edward Jones ","Associate Vp For Admissions",2021-06-01,2021,"Oberlin College"
111425,"David Hertz ","Chief Of Staff",2021-06-01,2021,"Oberlin College"
0,"Charles S Birenbaum ","Trustee",2021-06-01,2021,"Oberlin College"
0,"Robin Black ","Trustee",2021-06-01,2021,"Oberlin College"
0,"Richard T Brandt ","Trustee",2021-06-01,2021,"Oberlin College"
0,"Brian Cabral ","Trustee",2021-06-01,2021,"Oberlin College"
0,"T Christopher Canavan ","Trustee/Chair",2021-06-01,2021,"Oberlin College"
480401,"Carmen Twillie Amber ","President",2020-06-01,2020,"Oberlin College"
383485,"Jun Yang ","Chief Investment Officer",2020-06-01,2020,"Oberlin College"
320082,"Timothy E Elgren ","Dean Of Arts & Sciences Former",2020-06-01,2020,"Oberlin College"
237377,"David Kamitsuka ","Dean Of Arts & Sciences",2020-06-01,2020,"Oberlin College"
234311,"Rebecca D Vazquez-Skillings ","Vp For Finance & Administration",2020-06-01,2020,"Oberlin College"
207291,"Harry N Hirsch ","Professor",2020-06-01,2020,"Oberlin College"
202774,"John V Duca ","Professor",2020-06-01,2020,"Oberlin College"
196811,"Donica Varner ","Vp, General Counsel & Secretary",2020-06-01,2020,"Oberlin College"
186388,"William Quillen ","Interim Dean Of Conservatory",2020-06-01,2020,"Oberlin College"
181019,"Benjamin R Hockenhull ","Chief Information Technology Officer",2020-06-01,2020,"Oberlin College"
180350,"Mary Jo Diekman ","Associate Vp For Finance Former",2020-06-01,2020,"Oberlin College"
179876,"Manuel Carballo ","Vp And Dean Of Admin. & Fin. Aid",2020-06-01,2020,"Oberlin College"
174539,"Jeffrey Witmer ","Professor",2020-06-01,2020,"Oberlin College"
174240,"Meredith L Raimondo ","Vice President/Dean Of Students",2020-06-01,2020,"Oberlin College"
165483,"Steven F Wojtal ","Professor",2020-06-01,2020,"Oberlin College"
147653,"William E Barlow ","Vp Of Dev. & Alumni Affairs Former",2020-06-01,2020,"Oberlin College"
145220,"Rachel Smith Silver ","Interim Vp Of Dev. & Alumni Affairs",2020-06-01,2020,"Oberlin College"
115202,"Heidi Pycraft ","Controller",2020-06-01,2020,"Oberlin College"
114156,"Clayton R Koppes ","Interim President Former",2020-06-01,2020,"Oberlin College"
43037,"Nicole Addington ","Associate Vp For Finance",2020-06-01,2020,"Oberlin College"
0,"Aliyah Abu-Hazeem ","Trustee",2020-06-01,2020,"Oberlin College"
0,"Charles S Birenbaum ","Trustee",2020-06-01,2020,"Oberlin College"
0,"Robin Black ","Trustee",2020-06-01,2020,"Oberlin College"
0,"Richard T Brandt ","Trustee",2020-06-01,2020,"Oberlin College"
0,"Brian Cabral ","Trustee",2020-06-01,2020,"Oberlin College"
517345,"Jainen Thayer ","Chief Investment Officer",2019-06-01,2019,"Oberlin College"
472898,"Carmen Twillie Amber ","President",2019-06-01,2019,"Oberlin College"
257765,"William E Barlow ","Vp Of Development & Alumni Affairs",2019-06-01,2019,"Oberlin College"
241749,"Andrea E Kalyn ","Dean Of Conservatory",2019-06-01,2019,"Oberlin College"
221479,"Timothy E Elgren ","Dean Of Arts & Sciences",2019-06-01,2019,"Oberlin College"
210523,"David Kamitsuka ","Interim Dean Of Arts & Sciences",2019-06-01,2019,"Oberlin College"
207560,"Donica Varner ","Vp, General Counsel & Secretary",2019-06-01,2019,"Oberlin College"
205399,"Harry N Hirsch ","Professor",2019-06-01,2019,"Oberlin College"
183210,"John V Duca ","Professor",2019-06-01,2019,"Oberlin College"
179198,"Benjamin R Hockenhull ","Chief Information Technology Officer",2019-06-01,2019,"Oberlin College"
175232,"Manuel Carballo ","Vp/Dean Of Admissions & Fin. Aid",2019-06-01,2019,"Oberlin College"
172362,"Jeffrey A Witmer ","Professor",2019-06-01,2019,"Oberlin College"
171173,"Meredith L Raimondo ","Vp And Dean Of Students",2019-06-01,2019,"Oberlin College"
169099,"Marilyn K Mcdonald ","Professor",2019-06-01,2019,"Oberlin College"
161079,"Mary Jo Diekman ","Associate Vp For Finance",2019-06-01,2019,"Oberlin College"
139473,"Joyce Babyak ","Acting Dean Of Arts & Sci. Former",2019-06-01,2019,"Oberlin College"
122961,"Alan J Norton ","Interim Vp For Finance",2019-06-01,2019,"Oberlin College"
120910,"Rebecca D Vazquez-Skillings ","Vp For Finance",2019-06-01,2019,"Oberlin College"
113792,"Heidi Pycraft ","Controller",2019-06-01,2019,"Oberlin College"
112784,"Clayton R Koppes ","Interim President Former",2019-06-01,2019,"Oberlin College"
0,"Aliyah Abu-Hazeem ","Trustee",2019-06-01,2019,"Oberlin College"
0,"Charles S Birenbaum ","Trustee",2019-06-01,2019,"Oberlin College"
0,"Richard T Brandt ","Trustee",2019-06-01,2019,"Oberlin College"
0,"Brian Cabral ","Trustee",2019-06-01,2019,"Oberlin College"
0,"T Christopher Canavan ","Trustee/Chair",2019-06-01,2019,"Oberlin College"
1039875,"Marvin Krislov ","President",2018-06-01,2018,"Oberlin College"
568415,"Jainen Thayer ","Chief Investment Officer",2018-06-01,2018,"Oberlin College"
262563,"William E Barlow ","Vp Of Devel./Alum. Affairs",2018-06-01,2018,"Oberlin College"
249670,"Debra J Chermonte ","Vp/Dean Of Adm.&Fin.aid",2018-06-01,2018,"Oberlin College"
240757,"Andrea E Kalyn ","Dean Of Conservatory",2018-06-01,2018,"Oberlin College"
239829,"Marcia E Miller ","Director Of Investments",2018-06-01,2018,"Oberlin College"
236334,"Sandhya S Iyer ","Vp,Gen.counsel&Secretary",2018-06-01,2018,"Oberlin College"
221479,"Timothy E Elgren ","Dean Of Arts & Sciences",2018-06-01,2018,"Oberlin College"
205579,"Harry N Hirsch ","Professor",2018-06-01,2018,"Oberlin College"
202064,"Clayton R Koppes ","Interim President/Professor",2018-06-01,2018,"Oberlin College"
196926,"Michael M Nolan ","Assoc Vp Devel/Dir Princ Gift",2018-06-01,2018,"Oberlin College"
186785,"John E Bucher ","Chief Technology Officer",2018-06-01,2018,"Oberlin College"
178073,"Steven F Wojtal ","Assoc.dean-Arts&Sciences&Prof.",2018-06-01,2018,"Oberlin College"
